162329	K. El Ahmadi	Morocco
158232	S. Kalou	Ivory Coast
157960	Manuel Fernandes	Portugal
156713	A. Granqvist	Sweden
150516	L. Podolski	Germany
146460	Javi Fuego	Spain
143587	F. Belluschi	Argentina
140293	A. Mirante	Italy
139968	V. Enyeama	Nigeria
139668	F. Marchetti	Italy
138449	Kaká	Brazil
138412	J. Milner	England
134744	A. Hutchinson	Canada
124635	M. Topal	Turkey
112316	J. Mathieu	France
111661	C. Kameni	Cameroon
53914	P. Jagielka	England
52091	P. Evra	France
50542	J. Defoe	England
48717	Júlio César	Brazil
21146	M. Carrick	England
230977	M. Almirón	Paraguay
230142	Oyarzabal	Spain
227476	Soares	Brazil
225647	M. Campaña	Uruguay
225018	F. Andone	Romania
224334	M. Acuña	Argentina
221660	V. Lindelöf	Sweden
221130	Y. Cardinale	France
220440	C. Lenglet	France
218339	M. Dahoud	Germany
216150	D. Zappacosta	Italy
215466	N. Maksimović	Serbia
215259	E. Rigoni	Argentina
215057	I. Marcone	Argentina
215051	L. López	Argentina
214997	A. Correa	Argentina
213345	K. Coman	France
213150	S. Kritsyuk	Russia
212886	W. Cyprien	France
212602	Diego Llorente	Spain
212523	Anderson Talisca	Brazil
212501	L. Dendoncker	Belgium
212150	M. Meyer	Germany
211688	Gayà	Spain
211381	S. Boufal	Morocco
211354	M. Benassi	Italy
211256	N. Tagliafico	Argentina
210864	E. Hysaj	Albania
210514	João Cancelo	Portugal
210413	A. Romagnoli	Italy
208777	Óliver Torres	Spain
208128	H. Çalhanoğlu	Turkey
208093	Gerard Moreno	Spain
207948	B. Traoré	Burkina Faso
207441	L. Vietto	Argentina
207439	L. Paredes	Argentina
206511	M. Arnold	Germany
206113	S. Gnabry	Germany
205988	L. Shaw	England
205678	E. Višća	Bosnia Herzegovina
205525	Bernard	Brazil
205407	D. Baselli	Italy
205175	A. Milik	Poland
205069	Bernat	Spain
204638	W. Orban	Germany
204523	Rubén Pardo	Spain
204311	K. Zouma	France
204024	C. Kramer	Germany
203890	S. Vrsaljko	Croatia
203757	Zé Luís	Cape Verde
203574	J. Stones	England
202849	J. Vestergaard	Denmark
202642	Fernando	Brazil
202556	M. Depay	Netherlands
201988	F. Fernández	Argentina
201956	S. Sané	Senegal
201858	N. Sansone	Italy
201533	P. Ntep	France
201454	F. Ghoulam	Algeria
201377	J. Murillo	Colombia
201305	Gabriel Paulista	Brazil
201262	V. Darida	Czech Republic
201118	Cédric	Portugal
201049	L. Tonelli	Italy
201046	R. Saponara	Italy
201042	D. Sidibé	France
200641	Y. Konoplyanka	Ukraine
200458	L. Digne	France
200454	Paco Alcácer	Spain
199977	Vicente Gómez	Spain
199952	E. Çolak	Turkey
199852	N. Jørgensen	Denmark
199576	Oriol Romeu	Spain
199561	Nolito	Spain
199550	B. Martins Indi	Netherlands
198683	M. Gabbiadini	Italy
198077	P. Herrmann	Germany
197948	F. Lejeune	France
195363	J. Bruma	Netherlands
194957	P. Jones	England
194911	Adrián	Spain
194174	Keko	Spain
193887	H. Pérez	Paraguay
193171	Jaume Costa	Spain
193105	A. Areola	France
192679	Escudero	Spain
192565	Y. Mallı	Turkey
192086	A. Kokorin	Russia
191210	S. Corchia	France
190875	J. Kucka	Slovakia
190778	J. Zoet	Netherlands
